f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
1.000000000000000056e-01,0.000000000000000000e+00,6.999999868639861234e-08,-3.056908057800000051e+02,-2.904386939999999981e+02
1.023292989999999986e-01,0.000000000000000000e+00,-3.600000013648241293e-07,-3.000253036500000121e+02,-2.974000750000000153e+02
1.047128549999999936e-01,0.000000000000000000e+00,2.699999868127633817e-07,-3.000316223600000285e+02,-2.892535780000000045e+02
1.071519310000000058e-01,0.000000000000000000e+00,-4.599999954280065140e-07,-2.976258675000000267e+02,-2.949050659999999766e+02
1.096478199999999931e-01,0.000000000000000000e+00,-1.699999927495809970e-07,-3.007616706900000167e+02,-2.975010780000000068e+02
1.122018449999999945e-01,0.000000000000000000e+00,2.400000198576890398e-07,-3.057237395700000206e+02,-2.950030669999999873e+02
1.148153620000000041e-01,0.000000000000000000e+00,4.900000192264997168e-07,-3.071849667700000168e+02,-2.914842120000000136e+02
1.174897550000000013e-01,0.000000000000000000e+00,-1.299999894399661571e-07,-3.015765268999999762e+02,-2.934813839999999914e+02
1.202264430000000023e-01,0.000000000000000000e+00,6.999999868639861234e-08,-3.056194625499999802e+02,-2.993611089999999990e+02
1.230268770000000067e-01,0.000000000000000000e+00,1.500000053056282923e-07,-3.057047352299999829e+02,-2.926411360000000172e+02
1.258925409999999967e-01,0.000000000000000000e+00,4.100000126072700368e-07,-3.057444864000000280e+02,-2.944512250000000222e+02
1.288249549999999910e-01,0.000000000000000000e+00,3.099999901223782217e-07,-3.000818764499999816e+02,-2.939652350000000069e+02
1.318256740000000038e-01,0.000000000000000000e+00,3.300000059880403569e-07,-2.966825796600000444e+02,-2.930679920000000038e+02
1.348962880000000031e-01,0.000000000000000000e+00,-6.999999868639861234e-08,-2.976811092199999962e+02,-2.974468860000000063e+02
1.380384259999999919e-01,0.000000000000000000e+00,4.200000205401011044e-07,-2.987851382399999807e+02,-2.976279700000000048e+02
1.412537540000000091e-01,0.000000000000000000e+00,-1.299999894399661571e-07,-2.946114986800000111e+02,-2.973718680000000063e+02
1.445439769999999902e-01,0.000000000000000000e+00,2.000001586566213518e-08,-2.953907174099999793e+02,-2.961618040000000178e+02
1.479108389999999884e-01,0.000000000000000000e+00,1.800000006824120646e-07,-2.982335431500000027e+02,-2.922202689999999734e+02
1.513561250000000080e-01,0.000000000000000000e+00,1.799999722607026342e-07,-3.057818035099999747e+02,-2.892617920000000140e+02
1.548816620000000033e-01,0.000000000000000000e+00,2.200000039920269046e-07,-3.000953479699999775e+02,-2.981599969999999757e+02
1.584893189999999896e-01,0.000000000000000000e+00,-1.500000053056282923e-07,-2.971973118599999566e+02,-2.930661430000000109e+02
1.621810099999999866e-01,0.000000000000000000e+00,-1.399999973727972247e-07,-3.016169203800000105e+02,-2.934603309999999965e+02
1.659586909999999915e-01,0.000000000000000000e+00,2.000000165480741998e-07,-3.001030975900000044e+02,-2.832427969999999959e+02
1.698243650000000049e-01,0.000000000000000000e+00,-8.000000661922967993e-08,-2.958250664299999926e+02,-2.904575919999999769e+02
1.737800830000000019e-01,0.000000000000000000e+00,8.000000661922967993e-08,-2.994616916699999933e+02,-2.949395480000000020e+02
1.778279409999999894e-01,0.000000000000000000e+00,-2.900000026784255169e-07,-3.058063659499999858e+02,-2.868344769999999926e+02
1.819700860000000031e-01,0.000000000000000000e+00,-2.699999868127633817e-07,-2.972086707899999851e+02,-2.939624269999999910e+02
1.862087139999999974e-01,0.000000000000000000e+00,-1.299999894399661571e-07,-3.016527105399999868e+02,-2.911296360000000050e+02
1.905460720000000108e-01,0.000000000000000000e+00,-3.500000218537024921e-07,-2.972168984300000147e+02,-2.961356460000000084e+02
1.949844599999999983e-01,0.000000000000000000e+00,3.100000185440876521e-07,-3.008643695700000080e+02,-2.918481540000000223e+02
1.995262309999999983e-01,0.000000000000000000e+00,-2.700000152344728122e-07,-2.972173328900000229e+02,-2.884603779999999915e+02
2.041737939999999918e-01,0.000000000000000000e+00,4.100000126072700368e-07,-2.962852282399999808e+02,-2.961473349999999982e+02
2.089296129999999863e-01,0.000000000000000000e+00,4.300000000512227416e-07,-2.967423723200000154e+02,-2.935077259999999910e+02
2.137962089999999871e-01,0.000000000000000000e+00,3.699999808759457665e-07,-2.977410286799999994e+02,-2.944666990000000055e+02
2.187761619999999962e-01,0.000000000000000000e+00,3.199999980552092893e-07,-3.016666227800000115e+02,-2.989313409999999749e+02
2.238721140000000109e-01,0.000000000000000000e+00,-2.399999914359796094e-07,-2.943105769399999758e+02,-2.988551479999999856e+02
2.290867649999999978e-01,0.000000000000000000e+00,-3.699999808759457665e-07,-3.016700653699999748e+02,-2.944776120000000219e+02
2.344228819999999991e-01,0.000000000000000000e+00,2.099999960591958370e-07,-3.045753531500000122e+02,-2.887179830000000038e+02
2.398832919999999980e-01,0.000000000000000000e+00,1.100000019960134523e-07,-3.045888902500000199e+02,-2.955572329999999965e+02
2.454708919999999961e-01,0.000000000000000000e+00,2.600000073016417446e-07,-3.035034705499999745e+02,-2.974098470000000134e+02
2.511886429999999892e-01,0.000000000000000000e+00,-1.100000019960134523e-07,-3.034875538000000006e+02,-2.930611200000000167e+02
2.570395779999999908e-01,0.000000000000000000e+00,4.399999795623443788e-07,-2.967596706499999755e+02,-2.955251470000000040e+02
2.630267989999999778e-01,0.000000000000000000e+00,-3.899999967416079016e-07,-2.982923376400000279e+02,-2.944647669999999948e+02
2.691534800000000005e-01,0.000000000000000000e+00,3.000000106112565845e-07,-2.963022582400000147e+02,-2.960917620000000170e+02
2.754228699999999863e-01,0.000000000000000000e+00,-3.989999868281302042e-07,-2.963049438100000543e+02,-2.877234109999999987e+02
2.818382930000000175e-01,0.000000000000000000e+00,-2.280000046539498726e-07,-3.035180335900000159e+02,-2.892616489999999771e+02
2.884031499999999970e-01,0.000000000000000000e+00,2.209999934166262392e-07,-2.988809517700000242e+02,-2.935000689999999963e+02
2.951209229999999795e-01,0.000000000000000000e+00,4.919999980756983859e-07,-2.946891414399999576e+02,-2.996024140000000102e+02
3.019951719999999784e-01,0.000000000000000000e+00,2.529999960643181112e-07,-3.016856275999999752e+02,-2.998951620000000275e+02
3.090295430000000176e-01,0.000000000000000000e+00,2.810000125919032143e-07,-3.089828991800000040e+02,-2.982565260000000080e+02
3.162277660000000212e-01,0.000000000000000000e+00,4.469999907996680122e-07,-2.967688840100000220e+02,-2.944589429999999766e+02
3.235936569999999790e-01,0.000000000000000000e+00,-2.880000238292268477e-07,-2.995000918800000136e+02,-2.866235590000000002e+02
3.311311209999999727e-01,0.000000000000000000e+00,1.120000092669215519e-07,-3.001753584599999840e+02,-2.961161030000000096e+02
3.388441560000000075e-01,0.000000000000000000e+00,-2.470000026733032428e-07,-2.946947764100000313e+02,-2.914817610000000059e+02
3.467368499999999854e-01,0.000000000000000000e+00,-1.980000092771661002e-07,-2.983076082599999950e+02,-2.974505879999999820e+02
3.548133889999999790e-01,0.000000000000000000e+00,4.829999795674666530e-07,-2.983089395200000240e+02,-2.907895780000000059e+02
3.630780550000000106e-01,0.000000000000000000e+00,6.600001256629184354e-08,-3.025615536100000327e+02,-2.930650600000000168e+02
3.715352290000000224e-01,0.000000000000000000e+00,-1.300000178616755875e-07,-2.954698679099999481e+02,-2.922395510000000058e+02
3.801893960000000128e-01,0.000000000000000000e+00,2.539999854889174458e-07,-3.046141327199999864e+02,-2.904620469999999841e+02
3.890451449999999811e-01,0.000000000000000000e+00,-3.859999821997917024e-07,-2.943368093099999783e+02,-2.918539200000000164e+02
3.981071709999999819e-01,0.000000000000000000e+00,3.840000033505930332e-07,-3.087255998699999964e+02,-2.884574460000000045e+02
4.073802779999999846e-01,0.000000000000000000e+00,2.999999537678377237e-08,-3.046080495599999836e+02,-2.879615489999999909e+02
4.168693829999999823e-01,0.000000000000000000e+00,5.299997951624391135e-08,-3.035309944699999960e+02,-2.918538280000000213e+02
4.265795190000000181e-01,0.000000000000000000e+00,-1.399999405293783639e-08,-2.943389936599999714e+02,-2.944774439999999913e+02
4.365158319999999925e-01,0.000000000000000000e+00,3.939999828617146704e-07,-3.090529451300000119e+02,-2.918517049999999813e+02
4.466835920000000182e-01,0.000000000000000000e+00,-1.240000244706607191e-07,-3.087571518400000059e+02,-2.955522270000000162e+02
4.570881900000000053e-01,0.000000000000000000e+00,6.499999471998307854e-08,-2.954747947100000260e+02,-2.879632139999999936e+02
4.677351410000000209e-01,0.000000000000000000e+00,-3.689999914513464319e-07,-3.058440926199999694e+02,-2.982223210000000222e+02
4.786300920000000070e-01,0.000000000000000000e+00,2.810000125919032143e-07,-3.046204133999999613e+02,-2.955651839999999879e+02
4.897788189999999764e-01,0.000000000000000000e+00,-2.380000125867809402e-07,-2.963238938499999904e+02,-2.967781340000000228e+02
5.011872339999999815e-01,0.000000000000000000e+00,-1.342999951248202706e-07,-3.084937947500000064e+02,-2.961359739999999761e+02
5.128613840000000312e-01,0.000000000000000000e+00,4.287000194835854927e-07,-3.058530518000000029e+02,-2.907876939999999877e+02
5.248074600000000034e-01,0.000000000000000000e+00,3.382999977930012392e-07,-3.001859287199999926e+02,-2.882084970000000226e+02
5.370317959999999502e-01,0.000000000000000000e+00,-4.644900002404028783e-07,-3.073097921600000291e+02,-2.989853749999999764e+02
5.495408739999999570e-01,0.000000000000000000e+00,1.940000515787687618e-08,-2.963254787500000020e+02,-2.879637650000000235e+02
5.623413250000000030e-01,0.000000000000000000e+00,-1.486000087425054517e-07,-2.983193490900000029e+02,-2.944791190000000256e+02
5.754399369999999569e-01,0.000000000000000000e+00,1.602000168077211129e-07,-2.954781117599999902e+02,-2.911291079999999738e+02
5.888436550000000214e-01,0.000000000000000000e+00,1.470000086101208581e-07,-3.058640382899999963e+02,-2.907898940000000039e+02
6.025595860000000359e-01,0.000000000000000000e+00,9.000001455206074752e-08,-3.058614662100000032e+02,-2.884591409999999883e+02
6.165950019999999476e-01,0.000000000000000000e+00,3.520000007029011613e-07,-2.954786920099999747e+02,-2.944758659999999963e+02
6.309573440000000311e-01,0.000000000000000000e+00,3.830000139259936986e-07,-3.017024591499999815e+02,-2.879632710000000202e+02
6.456542290000000239e-01,0.000000000000000000e+00,-2.710000046590721468e-07,-3.090056900800000221e+02,-2.904612200000000257e+02
6.606934479999999610e-01,0.000000000000000000e+00,3.799999603870674036e-08,-3.035374402199999508e+02,-2.887186280000000238e+02
6.760829750000000304e-01,0.000000000000000000e+00,6.400000529538374394e-08,-3.058665749599999799e+02,-2.882078910000000178e+02
6.918309710000000168e-01,0.000000000000000000e+00,-3.240000125970254885e-07,-3.035378786899999568e+02,-2.918540060000000267e+02
7.079457839999999669e-01,0.000000000000000000e+00,-1.360000112526904559e-07,-2.977782057500000406e+02,-2.944764739999999961e+02
7.244359599999999899e-01,0.000000000000000000e+00,-2.519999782180093462e-07,-2.977785824900000193e+02,-2.930658429999999726e+02
7.413102409999999809e-01,0.000000000000000000e+00,-4.180000132691930048e-07,-3.089992032199999699e+02,-2.868340039999999931e+02
