f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
1.000000000000000056e-01,-1.169999999994786322e-06,5.492600000138736505e-04,-1.063843788599999982e+02,-8.218027050000000600e+01
1.023292989999999986e-01,-1.169999999994786322e-06,5.627299999844126432e-04,-1.061827316100000047e+02,-8.197321130000000267e+01
1.047128549999999936e-01,-1.179999999934011612e-06,5.759000000011837983e-04,-1.059811465300000037e+02,-8.176640539999999646e+01
1.071519310000000058e-01,-1.179999999934011612e-06,5.889400000000932778e-04,-1.057796220199999908e+02,-8.155984619999999552e+01
1.096478199999999931e-01,-1.179999999934011612e-06,6.028300000195940811e-04,-1.055781559899999991e+02,-8.135352709999999377e+01
1.122018449999999945e-01,-1.169999999994786322e-06,6.172800000001643639e-04,-1.053767466700000028e+02,-8.114744149999999934e+01
1.148153620000000041e-01,-1.169999999994786322e-06,6.316599999820482481e-04,-1.051753922000000046e+02,-8.094158269999999789e+01
1.174897550000000013e-01,-1.169999999994786322e-06,6.458800000075370917e-04,-1.049740908900000136e+02,-8.073594429999999988e+01
1.202264430000000023e-01,-1.169999999994786322e-06,6.613099999981386645e-04,-1.047728409099999993e+02,-8.053051960000000520e+01
1.230268770000000067e-01,-1.179999999934011612e-06,6.766600000105427171e-04,-1.045716404800000134e+02,-8.032530219999999588e+01
1.258925409999999967e-01,-1.169999999994786322e-06,6.929500000012467353e-04,-1.043704880599999996e+02,-8.012028560000000255e+01
1.288249549999999910e-01,-1.169999999994786322e-06,7.093000000111260306e-04,-1.041693818299999919e+02,-7.991546350000000132e+01
1.318256740000000038e-01,-1.160000000055561031e-06,7.259600000111277041e-04,-1.039683201699999984e+02,-7.971082959999999673e+01
1.348962880000000031e-01,-1.160000000055561031e-06,7.430999999940013367e-04,-1.037673016899999965e+02,-7.950637779999999566e+01
1.380384259999999919e-01,-1.160000000055561031e-06,7.597899999893797940e-04,-1.035663245500000045e+02,-7.930210200000000498e+01
1.412537540000000091e-01,-1.150000000116335741e-06,7.778700000073968113e-04,-1.033653875499999941e+02,-7.909799619999999720e+01
1.445439769999999902e-01,-1.150000000116335741e-06,7.958799999983057205e-04,-1.031644889300000045e+02,-7.889405460000000403e+01
1.479108389999999884e-01,-1.140000000177110451e-06,8.149399999979323184e-04,-1.029636274300000025e+02,-7.869027149999999438e+01
1.513561250000000080e-01,-1.130000000237885160e-06,8.337000000153693691e-04,-1.027628016500000001e+02,-7.848664130000000227e+01
1.548816620000000033e-01,-1.130000000237885160e-06,8.532199999820022640e-04,-1.025620101599999998e+02,-7.828315859999999304e+01
1.584893189999999896e-01,-1.119999999854570660e-06,8.729099999982281588e-04,-1.023612517899999972e+02,-7.807981800000000305e+01
1.621810099999999866e-01,-1.119999999854570660e-06,8.934499999782019586e-04,-1.021605251599999917e+02,-7.787661429999999996e+01
1.659586909999999915e-01,-1.109999999915345370e-06,9.146999999813942850e-04,-1.019598289999999992e+02,-7.767354260000000465e+01
1.698243650000000049e-01,-1.099999999976120080e-06,9.356300000149531115e-04,-1.017591622599999965e+02,-7.747059779999999307e+01
1.737800830000000019e-01,-1.090000000036894789e-06,9.572699999864653364e-04,-1.015585237000000092e+02,-7.726777529999999672e+01
1.778279409999999894e-01,-1.090000000036894789e-06,9.796100000016849663e-04,-1.013579121699999916e+02,-7.706507050000000447e+01
1.819700860000000031e-01,-1.069999999714354999e-06,1.002569999997149353e-03,-1.011573266700000033e+02,-7.686247869999999693e+01
1.862087139999999974e-01,-1.069999999714354999e-06,1.025909999981422516e-03,-1.009567661700000087e+02,-7.665999580000000435e+01
1.905460720000000108e-01,-1.049999999835904418e-06,1.050190000000839063e-03,-1.007562295899999896e+02,-7.645761740000000373e+01
1.949844599999999983e-01,-1.039999999896679128e-06,1.074710000011691591e-03,-1.005557160200000055e+02,-7.625533939999999689e+01
1.995262309999999983e-01,-1.020000000018228548e-06,1.100460000003522509e-03,-1.003552245099999993e+02,-7.605315810000000454e+01
2.041737939999999918e-01,-1.020000000018228548e-06,1.126050000010536678e-03,-1.001547541000000052e+02,-7.585106940000000009e+01
2.089296129999999863e-01,-9.999999996956887571e-07,1.151699999979882705e-03,-9.995430408000000000e+01,-7.564906980000000658e+01
2.137962089999999871e-01,-9.799999998172381765e-07,1.179180000008273055e-03,-9.975387341000001129e+01,-7.544715569999999616e+01
2.187761619999999962e-01,-9.699999998780128863e-07,1.206749999994372047e-03,-9.955346145000000035e+01,-7.524532370000000014e+01
2.238721140000000109e-01,-9.499999999995623057e-07,1.234170000003587120e-03,-9.935306740000001469e+01,-7.504357039999999301e+01
2.290867649999999978e-01,-9.399999996162478055e-07,1.263590000007752678e-03,-9.915269036999998775e+01,-7.484189259999999422e+01
2.344228819999999991e-01,-9.200000001818864348e-07,1.292580000011867014e-03,-9.895232984999999815e+01,-7.464028729999999712e+01
2.398832919999999980e-01,-9.000000003034358542e-07,1.323100000007570998e-03,-9.875198511000000678e+01,-7.443875160000000335e+01
2.454708919999999961e-01,-8.700000000416707735e-07,1.353399999999282954e-03,-9.855165531000000101e+01,-7.423728250000000628e+01
2.511886429999999892e-01,-8.500000001632201929e-07,1.385090000013633471e-03,-9.835133999999999332e+01,-7.403587729999999567e+01
2.570395779999999908e-01,-8.299999998406804025e-07,1.418038999986492854e-03,-9.815103853000000811e+01,-7.383453330000000392e+01
2.630267989999999778e-01,-8.099999999622298219e-07,1.450377999987040312e-03,-9.795075033999999903e+01,-7.363324810000000298e+01
2.691534800000000005e-01,-7.800000001445539510e-07,1.484490000024152323e-03,-9.775047480000000633e+01,-7.343201919999999916e+01
2.754228699999999863e-01,-7.599999998220141606e-07,1.518975999999838677e-03,-9.755021134000000416e+01,-7.323084430000000111e+01
2.818382930000000175e-01,-7.300000000043382897e-07,1.554643000019950705e-03,-9.734995954000000040e+01,-7.302972099999999500e+01
2.884031499999999970e-01,-7.000000001866624189e-07,1.590483000001086111e-03,-9.714971884999999929e+01,-7.282864720000000602e+01
2.951209229999999795e-01,-6.599999999856720478e-07,1.627663999983042231e-03,-9.694948877000000209e+01,-7.262762089999999660e+01
3.019951719999999784e-01,-6.400000001072214673e-07,1.666512000014108708e-03,-9.674926898999999025e+01,-7.242664010000000019e+01
3.090295430000000176e-01,-5.999999999062310962e-07,1.704500999977653919e-03,-9.654905883999998650e+01,-7.222570269999999937e+01
3.162277660000000212e-01,-5.599999997052407252e-07,1.744242999990319731e-03,-9.634885814999999809e+01,-7.202480710000000386e+01
3.235936569999999790e-01,-5.299999998875648544e-07,1.785473999973419268e-03,-9.614866628999999421e+01,-7.182395139999999856e+01
3.311311209999999727e-01,-4.900000001306636932e-07,1.827052000010098709e-03,-9.594848304999999300e+01,-7.162313389999999913e+01
3.388441560000000075e-01,-4.499999999296733222e-07,1.869945000009920477e-03,-9.574830785000000333e+01,-7.142235309999999515e+01
3.467368499999999854e-01,-4.100000001727721610e-07,1.913226000027634655e-03,-9.554814063999999973e+01,-7.122160739999999635e+01
3.548133889999999790e-01,-3.600000000325564997e-07,1.958067999993318153e-03,-9.534798080999999570e+01,-7.102089519999999823e+01
3.630780550000000106e-01,-3.099999998923408384e-07,2.003738999974302715e-03,-9.514782819999999219e+01,-7.082021530000000098e+01
3.715352290000000224e-01,-2.700000001354396773e-07,2.049600000020745938e-03,-9.494768234999999379e+01,-7.061956610000000012e+01
3.801893960000000128e-01,-2.100000000559987257e-07,2.098098999994135738e-03,-9.474754318000000808e+01,-7.041894639999999583e+01
3.890451449999999811e-01,-1.599999999157830644e-07,2.146771999974816936e-03,-9.454741023000001121e+01,-7.021835509999999658e+01
3.981071709999999819e-01,-1.099999997755674030e-07,2.197241000004623857e-03,-9.434728320000000679e+01,-7.001779070000000615e+01
4.073802779999999846e-01,-5.000000014021566130e-08,2.248213000001442197e-03,-9.414716202999998984e+01,-6.981725230000000693e+01
4.168693829999999823e-01,1.999999987845058058e-08,2.300480000002380621e-03,-9.394704631000000461e+01,-6.961673879999999315e+01
4.265795190000000181e-01,7.999999995789153218e-08,2.353921000008085684e-03,-9.374693578999999488e+01,-6.941624899999999343e+01
4.365158319999999925e-01,1.499999999765577741e-07,2.408502200012208050e-03,-9.354683036000000129e+01,-6.921578209999999842e+01
4.466835920000000182e-01,2.199999999952240159e-07,2.465278100004297812e-03,-9.334672976999999605e+01,-6.901533700000000238e+01
4.570881900000000053e-01,2.999999999531155481e-07,2.522395800014010092e-03,-9.314663373999999862e+01,-6.881491280000000188e+01
4.677351410000000209e-01,3.799999999110070803e-07,2.581096699998397526e-03,-9.294654212000000371e+01,-6.861450870000000180e+01
4.786300920000000070e-01,4.499999999296733222e-07,2.641720000013947356e-03,-9.274645465000000399e+01,-6.841412379999999871e+01
4.897788189999999764e-01,5.399999998267901447e-07,2.702706900009843594e-03,-9.254637132000000577e+01,-6.821375740000000576e+01
5.011872339999999815e-01,6.300000001679961770e-07,2.765603999989707518e-03,-9.234629178000000138e+01,-6.801340869999999938e+01
5.128613840000000312e-01,7.199999996210237896e-07,2.830070000015894038e-03,-9.214621603000000505e+01,-6.781307700000000693e+01
5.248074600000000034e-01,8.199999999014551122e-07,2.895876999986057854e-03,-9.194614376999999195e+01,-6.761276159999999891e+01
5.370317959999999502e-01,9.300000001211117251e-07,2.963921000002756045e-03,-9.174607484999998519e+01,-6.741246189999999672e+01
5.495408739999999570e-01,1.039999999896679128e-06,3.033221000009689305e-03,-9.154600926999999899e+01,-6.721217719999999929e+01
5.623413250000000030e-01,1.149999999672246531e-06,3.103933000005554277e-03,-9.134594672999999432e+01,-6.701190689999999961e+01
5.754399369999999569e-01,1.269999999831128434e-06,3.175349000002825051e-03,-9.114588718999999628e+01,-6.681165049999999894e+01
5.888436550000000214e-01,1.399999999929235628e-06,3.249909000004436166e-03,-9.094583045999999626e+01,-6.661140749999999855e+01
