f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
1.000000000000000056e-01,-9.099999997985719347e-07,1.170639999998002168e-03,-9.981090600000000279e+01,-1.026699330000000003e+02
1.023292989999999986e-01,-9.100000002426611445e-07,1.198420000008582065e-03,-9.961025223000000040e+01,-1.024629659999999944e+02
1.047128549999999936e-01,-9.000000003034358542e-07,1.226869999982227455e-03,-9.940962307000000919e+01,-1.022562479999999994e+02
1.071519310000000058e-01,-9.100000002426611445e-07,1.254789999990180149e-03,-9.920901779000000431e+01,-1.020497730000000018e+02
1.096478199999999931e-01,-8.999999998593466444e-07,1.284919999989142525e-03,-9.900843557999999689e+01,-1.018435340000000053e+02
1.122018449999999945e-01,-9.000000003034358542e-07,1.314780000001292137e-03,-9.880787588000001165e+01,-1.016375249999999966e+02
1.148153620000000041e-01,-8.899999999201213541e-07,1.345590000028096256e-03,-9.860733790000000454e+01,-1.014317400000000049e+02
1.174897550000000013e-01,-8.799999999808960638e-07,1.376219999997374543e-03,-9.840682082000000719e+01,-1.012261730000000028e+02
1.202264430000000023e-01,-8.799999999808960638e-07,1.409039999998640269e-03,-9.820632421999999906e+01,-1.010208149999999989e+02
1.230268770000000067e-01,-8.700000000416707735e-07,1.441830000004529211e-03,-9.800584718999999723e+01,-1.008156620000000032e+02
1.258925409999999967e-01,-8.600000001024454832e-07,1.475709999994023747e-03,-9.780538916999999799e+01,-1.006107080000000025e+02
1.288249549999999910e-01,-8.600000001024454832e-07,1.510009999975636674e-03,-9.760494941999999696e+01,-1.004059440000000052e+02
1.318256740000000038e-01,-8.499999997191309831e-07,1.545160000006262635e-03,-9.740452739999999210e+01,-1.002013670000000047e+02
1.348962880000000031e-01,-8.399999997799056928e-07,1.580639999986033217e-03,-9.720412249000000315e+01,-9.999696919999999523e+01
1.380384259999999919e-01,-8.299999998406804025e-07,1.617829999986497569e-03,-9.700373404000001187e+01,-9.979274490000000242e+01
1.412537540000000091e-01,-8.300000002847696123e-07,1.655929999998306812e-03,-9.680336140999999373e+01,-9.958868850000000350e+01
1.445439769999999902e-01,-8.099999999622298219e-07,1.693890000012743258e-03,-9.660300409999999260e+01,-9.938479399999999941e+01
1.479108389999999884e-01,-8.099999999622298219e-07,1.734260000006315749e-03,-9.640266152000000943e+01,-9.918105590000000404e+01
1.513561250000000080e-01,-7.900000000837792413e-07,1.774179999983971356e-03,-9.620233302999999125e+01,-9.897746870000000285e+01
1.548816620000000033e-01,-7.800000001445539510e-07,1.816210000015416881e-03,-9.600201824999999189e+01,-9.877402709999999786e+01
1.584893189999999896e-01,-7.600000002661033704e-07,1.858300000009194264e-03,-9.580171658000000434e+01,-9.857072569999999700e+01
1.621810099999999866e-01,-7.499999998827888703e-07,1.901690000011058146e-03,-9.560142756999999847e+01,-9.836755960000000698e+01
1.659586909999999915e-01,-7.300000000043382897e-07,1.945830000011028460e-03,-9.540115072000000396e+01,-9.816452359999999544e+01
1.698243650000000049e-01,-7.200000000651129994e-07,1.991320000001906010e-03,-9.520088549000000455e+01,-9.796161309999999389e+01
1.737800830000000019e-01,-6.999999997425732090e-07,2.037799999982325971e-03,-9.500063150999999095e+01,-9.775882330000000309e+01
1.778279409999999894e-01,-6.799999998641226284e-07,2.084920000015699770e-03,-9.480038833999999781e+01,-9.755614959999999769e+01
1.819700860000000031e-01,-6.599999999856720478e-07,2.133259999993697420e-03,-9.460015543000000093e+01,-9.735358759999999734e+01
1.862087139999999974e-01,-6.399999996631322574e-07,2.183270000017500934e-03,-9.439993246000000227e+01,-9.715113300000000152e+01
1.905460720000000108e-01,-6.200000002287708867e-07,2.234200000003738751e-03,-9.419971907999999416e+01,-9.694878169999999784e+01
