f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
1.000000000000000056e-01,-5.899999999670058060e-07,2.637640000017427155e-03,-9.275791348999999286e+01,-1.127530000000000001e+02
1.023292989999999986e-01,-5.799999995836913058e-07,2.699690000014243196e-03,-9.255768021999999462e+01,-1.125439010000000053e+02
1.047128549999999936e-01,-5.699999996444660155e-07,2.762230000001864028e-03,-9.235745574000000602e+01,-1.123351329999999990e+02
1.071519310000000058e-01,-5.600000001493299351e-07,2.827139999993732999e-03,-9.215723972000000686e+01,-1.121266889999999989e+02
1.096478199999999931e-01,-5.499999997660154349e-07,2.893139999997629275e-03,-9.195703199000000438e+01,-1.119185580000000044e+02
1.122018449999999945e-01,-5.400000002708793545e-07,2.959670000024061665e-03,-9.175683220999999890e+01,-1.117107319999999930e+02
1.148153620000000041e-01,-5.199999999483395641e-07,3.028799999981401925e-03,-9.155664019999998970e+01,-1.115032010000000042e+02
1.174897550000000013e-01,-5.100000000091142738e-07,3.100160000002460947e-03,-9.135645557999998800e+01,-1.112959570000000014e+02
1.202264430000000023e-01,-5.000000000698889835e-07,3.171810000026198395e-03,-9.115627831999999842e+01,-1.110889920000000046e+02
1.230268770000000067e-01,-4.800000001914384029e-07,3.246149999995395774e-03,-9.095610795999999709e+01,-1.108822949999999992e+02
1.258925409999999967e-01,-4.699999998081239028e-07,3.321859999999787760e-03,-9.075594445000000121e+01,-1.106758600000000001e+02
1.288249549999999910e-01,-4.499999999296733222e-07,3.398750000002337401e-03,-9.055578737000000444e+01,-1.104696760000000069e+02
1.318256740000000038e-01,-4.399999999904480319e-07,3.478709999995999169e-03,-9.035563670999999886e+01,-1.102637359999999944e+02
1.348962880000000031e-01,-4.100000001727721610e-07,3.559559999985140166e-03,-9.015549207000000820e+01,-1.100580319999999972e+02
1.380384259999999919e-01,-3.899999998502323706e-07,3.642010000021400629e-03,-8.995535334000000205e+01,-1.098525549999999953e+02
1.412537540000000091e-01,-3.799999999110070803e-07,3.727519999983996968e-03,-8.975522030000000484e+01,-1.096472980000000064e+02
1.445439769999999902e-01,-3.499999996492419996e-07,3.814239999996971164e-03,-8.955509270000000299e+01,-1.094422529999999938e+02
1.479108389999999884e-01,-3.200000002756553386e-07,3.902889999977787738e-03,-8.935497037000000375e+01,-1.092374130000000036e+02
1.513561250000000080e-01,-2.999999999531155481e-07,3.993710000003147798e-03,-8.915485312000001272e+01,-1.090327699999999993e+02
1.548816620000000033e-01,-2.800000000746649675e-07,4.087339999983896632e-03,-8.895474071999998955e+01,-1.088283160000000009e+02
1.584893189999999896e-01,-2.499999998128998868e-07,4.182750000012447344e-03,-8.875463301999999999e+01,-1.086240460000000070e+02
1.621810099999999866e-01,-2.199999999952240159e-07,4.280179999994970785e-03,-8.855452979000000369e+01,-1.084199519999999950e+02
1.659586909999999915e-01,-1.899999997334589352e-07,4.380010000005540860e-03,-8.835443091999999865e+01,-1.082160269999999969e+02
1.698243650000000049e-01,-1.599999999157830644e-07,4.481760000004442190e-03,-8.815433631999999875e+01,-1.080122659999999968e+02
1.737800830000000019e-01,-1.300000000981071935e-07,4.585969999993722013e-03,-8.795424567999999965e+01,-1.078086619999999982e+02
1.778279409999999894e-01,-9.000000034120603232e-08,4.693120000013095705e-03,-8.775415882000000067e+01,-1.076052090000000021e+02
1.819700860000000031e-01,-6.000000007944095159e-08,4.802630000000362998e-03,-8.755407576999999719e+01,-1.074019009999999952e+02
1.862087139999999974e-01,-2.999999981767587087e-08,4.913719999990462384e-03,-8.735399617000000205e+01,-1.071987320000000068e+02
1.905460720000000108e-01,1.999999987845058058e-08,5.028409999994210011e-03,-8.715392005999999014e+01,-1.069956980000000044e+02
1.949844599999999983e-01,6.000000007944095159e-08,5.145459999994272948e-03,-8.695384723999998755e+01,-1.067927930000000032e+02
1.995262309999999983e-01,1.000000002804313226e-07,5.266259999984868045e-03,-8.675377763999999559e+01,-1.065900110000000041e+02
2.041737939999999918e-01,1.499999999765577741e-07,5.388870000018641804e-03,-8.655371091000000661e+01,-1.063873480000000029e+02
2.089296129999999863e-01,2.000000001167734354e-07,5.513890000003129899e-03,-8.635364724000000081e+01,-1.061847989999999982e+02
2.137962089999999871e-01,2.499999998128998868e-07,5.642480000005889451e-03,-8.615358618999999862e+01,-1.059823590000000024e+02
2.187761619999999962e-01,2.999999999531155481e-07,5.774279999997133928e-03,-8.595352790999999115e+01,-1.057800239999999974e+02
2.238721140000000109e-01,3.600000000325564997e-07,5.908360000006496193e-03,-8.575347222999999985e+01,-1.055777899999999931e+02
2.290867649999999978e-01,4.199999996679082415e-07,6.046259999976655308e-03,-8.555341893000000653e+01,-1.053756529999999998e+02
2.344228819999999991e-01,4.799999997473491931e-07,6.186850000005961192e-03,-8.535336801999999068e+01,-1.051736080000000015e+02
2.398832919999999980e-01,5.500000002101046448e-07,6.331369999998059939e-03,-8.515331946000000585e+01,-1.049716520000000060e+02
2.454708919999999961e-01,6.099999998454563865e-07,6.478399999991779623e-03,-8.495327301000000375e+01,-1.047697820000000064e+02
2.511886429999999892e-01,6.799999998641226284e-07,6.629779999997253981e-03,-8.475322853000000123e+01,-1.045679930000000013e+02
2.570395779999999908e-01,7.600000002661033704e-07,6.783639999980550783e-03,-8.455318617000000359e+01,-1.043662819999999982e+02
2.630267989999999778e-01,8.299999998406804025e-07,6.942350000002761590e-03,-8.435314567000000352e+01,-1.041646460000000047e+02
2.691534800000000005e-01,9.200000001818864348e-07,7.103493000016669612e-03,-8.415310708999999179e+01,-1.039630820000000000e+02
2.754228699999999863e-01,1.000000000139777967e-06,7.269875999980968118e-03,-8.395307019000000537e+01,-1.037615870000000058e+02
2.818382930000000175e-01,1.090000000036894789e-06,7.438473999997086139e-03,-8.375303501999999867e+01,-1.035601580000000013e+02
2.884031499999999970e-01,1.180000000378100822e-06,7.612434999998640706e-03,-8.355300146000000439e+01,-1.033587919999999940e+02
2.951209229999999795e-01,1.280000000214442935e-06,7.789059000003817346e-03,-8.335296938000000466e+01,-1.031574870000000033e+02
3.019951719999999784e-01,1.389999999990010338e-06,7.970784999997704290e-03,-8.315293891000000315e+01,-1.029562389999999965e+02
3.090295430000000176e-01,1.489999999826352450e-06,8.156179000025076675e-03,-8.295290984999999750e+01,-1.027550470000000047e+02
3.162277660000000212e-01,1.600000000046009063e-06,8.346920000008140050e-03,-8.275288204000000292e+01,-1.025539090000000044e+02
3.235936569999999790e-01,1.719999999760801757e-06,8.540795999977035535e-03,-8.255285566999999958e+01,-1.023528210000000058e+02
3.311311209999999727e-01,1.849999999858908950e-06,8.739686000012625300e-03,-8.235283050999998977e+01,-1.021517819999999972e+02
3.388441560000000075e-01,1.970000000017790853e-06,8.943560000005845723e-03,-8.215280659999999102e+01,-1.019507899999999978e+02
3.467368499999999854e-01,2.109999999611034127e-06,9.151470000006156624e-03,-8.195278390000000002e+01,-1.017498420000000010e+02
3.548133889999999790e-01,2.249999999648366611e-06,9.365540999993982041e-03,-8.175276218000000483e+01,-1.015489369999999951e+02
3.630780550000000106e-01,2.399999999624924385e-06,9.582969999996748811e-03,-8.155274169000000484e+01,-1.013480729999999994e+02
3.715352290000000224e-01,2.549999999601482159e-06,9.807022000018150720e-03,-8.135272209000000032e+01,-1.011472490000000022e+02
3.801893960000000128e-01,2.719999999900579724e-06,1.003502099999309394e-02,-8.115270358000000783e+01,-1.009464619999999968e+02
3.890451449999999811e-01,2.890000000199677288e-06,1.026835499999378953e-02,-8.095268602999999530e+01,-1.007457110000000000e+02
3.981071709999999819e-01,3.069999999993910933e-06,1.050747000002161258e-02,-8.075266933000000336e+01,-1.005449950000000001e+02
4.073802779999999846e-01,3.259999999727369868e-06,1.075286800002572818e-02,-8.055265363000000889e+01,-1.003443120000000022e+02
4.168693829999999823e-01,3.449999999904918013e-06,1.100311000001852335e-02,-8.035263872000000163e+01,-1.001436599999999970e+02
4.265795190000000181e-01,3.659999999960916739e-06,1.125981199999159799e-02,-8.015262465000000702e+01,-9.994303909999999291e+01
4.365158319999999925e-01,3.870000000016915465e-06,1.152164999999172323e-02,-7.995261134000000425e+01,-9.974244699999999852e+01
4.466835920000000182e-01,4.090000000012139481e-06,1.179035699999531062e-02,-7.975259882000000289e+01,-9.954188270000000216e+01
4.570881900000000053e-01,4.329999999885814077e-06,1.206472800001279211e-02,-7.955258702999999798e+01,-9.934134509999999807e+01
4.677351410000000209e-01,4.569999999759488674e-06,1.234562170000685910e-02,-7.935257603000000870e+01,-9.914083320000000299e+01
4.786300920000000070e-01,4.829999999955703061e-06,1.263395940000577866e-02,-7.915256566000000760e+01,-9.894034580000000290e+01
4.897788189999999764e-01,5.100000000091142738e-06,1.292773329998908594e-02,-7.895255591000000095e+01,-9.873988199999999438e+01
5.011872339999999815e-01,5.390000000105032996e-06,1.322900700000673169e-02,-7.875254694000000200e+01,-9.853944079999999417e+01
5.128613840000000312e-01,5.689999999614059334e-06,1.353691999997863604e-02,-7.855253858999999750e+01,-9.833902129999999886e+01
5.248074600000000034e-01,5.999999999950489382e-06,1.385269190001281459e-02,-7.835253073000001223e+01,-9.813862269999999910e+01
5.370317959999999502e-01,6.329999999721280801e-06,1.417462700001692610e-02,-7.815252363000000457e+01,-9.793824399999999741e+01
5.495408739999999570e-01,6.669999999875386720e-06,1.450511999999548607e-02,-7.795251702000000193e+01,-9.773788460000000100e+01
5.623413250000000030e-01,7.030000000352032430e-06,1.484265999999934138e-02,-7.775251108999999872e+01,-9.753754360000000645e+01
5.754399369999999569e-01,7.399999999879725010e-06,1.518883500000356435e-02,-7.755250560000000348e+01,-9.733722050000000081e+01
5.888436550000000214e-01,7.789999999729957381e-06,1.554234200000337296e-02,-7.735250069999999312e+01,-9.713691439999999488e+01
6.025595860000000359e-01,8.199999999902729542e-06,1.590498800001682866e-02,-7.715249640999999770e+01,-9.693662480000000414e+01
6.165950019999999476e-01,8.629999999953952283e-06,1.627470100001460196e-02,-7.695249259999999936e+01,-9.673635109999999315e+01
6.309573440000000311e-01,9.079999999883625605e-06,1.665453200001820733e-02,-7.675248933999999679e+01,-9.653609269999999754e+01
6.456542290000000239e-01,9.550000000135838718e-06,1.704266600000892140e-02,-7.655248656999999923e+01,-9.633584899999999607e+01
6.606934479999999610e-01,1.003999999982241320e-05,1.743942699999934121e-02,-7.635248429999998621e+01,-9.613561959999999829e+01
6.760829750000000304e-01,1.055999999977075277e-05,1.784528499999282758e-02,-7.615248253000001455e+01,-9.593540400000000545e+01
6.918309710000000168e-01,1.110000000004163212e-05,1.826086400001258880e-02,-7.595248132999999768e+01,-9.573520170000000462e+01
7.079457839999999669e-01,1.165999999974687285e-05,1.868595099998060505e-02,-7.575248064000000170e+01,-9.553501230000000533e+01
7.244359599999999899e-01,1.226000000009719315e-05,1.912150399999745787e-02,-7.555248038999999949e+01,-9.533483540000000289e+01
7.413102409999999809e-01,1.288000000032596404e-05,1.956665599999496408e-02,-7.535248060999998643e+01,-9.513467070000000092e+01
7.585775750000000039e-01,1.352999999992832159e-05,2.002273100001161765e-02,-7.515248146999999790e+01,-9.493451779999999474e+01
7.762471170000000420e-01,1.421000000023653342e-05,2.048924400000373680e-02,-7.495248265000000742e+01,-9.473437640000000215e+01
7.943282350000000491e-01,1.492999999985755721e-05,2.096591799997327144e-02,-7.475248449999999423e+01,-9.453424610000000428e+01
8.128305160000000029e-01,1.567000000024521000e-05,2.145468599999844628e-02,-7.455248676999998736e+01,-9.433412669999999878e+01
8.317637709999999851e-01,1.644999999994567474e-05,2.195470499998464220e-02,-7.435248957999999675e+01,-9.413401810000000580e+01
8.511380379999999857e-01,1.726999999984712986e-05,2.246536500001639070e-02,-7.415249292000000025e+01,-9.393391979999999819e+01
8.709635900000000097e-01,1.812000000001035005e-05,2.298929399998428380e-02,-7.395249669000000381e+01,-9.373383180000000436e+01
8.912509379999999926e-01,1.901999999986969669e-05,2.352437499999382453e-02,-7.375250116000000844e+01,-9.353375379999999950e+01
9.120108390000000176e-01,1.995999999993003371e-05,2.407275000001618537e-02,-7.355250609000000850e+01,-9.333368579999999781e+01
9.332543009999999528e-01,2.095000000013058639e-05,2.463283000000160428e-02,-7.335251153000000102e+01,-9.313362739999999462e+01
9.549925860000000322e-01,2.196999999970472572e-05,2.520731999999270556e-02,-7.315251759000000220e+01,-9.293357869999999821e+01
9.772372209999999892e-01,2.304999999980239522e-05,2.579419999997867308e-02,-7.295252419999999915e+01,-9.273353950000000623e+01
1.000000000000000000e+00,2.418999999997950567e-05,2.639476000001650391e-02,-7.275253145000000643e+01,-9.253350969999999620e+01
1.023292990000000069e+00,2.535999999997429200e-05,2.700960999999324486e-02,-7.255253923000000782e+01,-9.233348940000000482e+01
1.047128550000000047e+00,2.660999999992696985e-05,2.763867000001596352e-02,-7.235254772000000401e+01,-9.213347829999999306e+01
1.071519310000000003e+00,2.790000000008063807e-05,2.828223000000207321e-02,-7.215255675999999596e+01,-9.193347660000000587e+01
1.096478199999999958e+00,2.926000000025297254e-05,2.894087999999328531e-02,-7.195256650999999692e+01,-9.173348409999999831e+01
1.122018449999999889e+00,3.067999999961656954e-05,2.961561999998707506e-02,-7.175257700000000227e+01,-9.153350100000000111e+01
1.148153619999999986e+00,3.216999999988701120e-05,3.030477999999448002e-02,-7.155258804999999711e+01,-9.133352720000000602e+01
1.174897550000000068e+00,3.373000000017611910e-05,3.101110000000062428e-02,-7.135259994999999833e+01,-9.113356290000000115e+01
1.202264430000000051e+00,3.536000000003980404e-05,3.173269999999206448e-02,-7.115261250999999731e+01,-9.093360800000000665e+01
1.230268769999999900e+00,3.706999999986138050e-05,3.247213000000215288e-02,-7.095262590000000102e+01,-9.073366280000000472e+01
1.258925410000000022e+00,3.885999999964084850e-05,3.322834999997326122e-02,-7.075264008999999987e+01,-9.053372720000000129e+01
1.288249549999999966e+00,4.074000000020561174e-05,3.400174999998739622e-02,-7.055265511999999717e+01,-9.033380150000000697e+01
1.318256740000000038e+00,4.270000000028417730e-05,3.479418000000578104e-02,-7.035267104000000415e+01,-9.013388580000000161e+01
1.348962879999999975e+00,4.474999999981577048e-05,3.560395000002358756e-02,-7.015268777000000000e+01,-8.993398019999999349e+01
1.380384260000000030e+00,4.690000000007188419e-05,3.643382999999289495e-02,-6.995270551999999498e+01,-8.973408499999999322e+01
1.412537539999999980e+00,4.915999999965947609e-05,3.728209999999876345e-02,-6.975272420000000295e+01,-8.953420040000000313e+01
1.445439769999999902e+00,5.151000000003236323e-05,3.815055000001166263e-02,-6.955274387000000047e+01,-8.933432659999999714e+01
1.479108389999999940e+00,5.398000000012004307e-05,3.903847000000837397e-02,-6.935276460999999415e+01,-8.913446399999999414e+01
1.513561249999999969e+00,5.657000000036660481e-05,3.994769000001952008e-02,-6.915278637000000117e+01,-8.893461270000000241e+01
1.548816619999999977e+00,5.927999999988387003e-05,4.087859000000548804e-02,-6.895280939999999248e+01,-8.873477309999999818e+01
1.584893190000000063e+00,6.211000000000410637e-05,4.183012000001440356e-02,-6.875283351000000209e+01,-8.853494560000000035e+01
1.621810100000000032e+00,6.509000000010090048e-05,4.280479999999897700e-02,-6.855285890999999765e+01,-8.833513050000000533e+01
1.659586910000000026e+00,6.819999999985171257e-05,4.380075999998211955e-02,-6.835288549999999930e+01,-8.813532820000000356e+01
1.698243649999999993e+00,7.145000000008394636e-05,4.482072999999786589e-02,-6.815291354000000013e+01,-8.793553900000000567e+01
1.737800830000000074e+00,7.486000000023196321e-05,4.586507000001915912e-02,-6.795294291000000442e+01,-8.773576359999999852e+01
