f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
1.000000000000000056e-01,-8.299999998406804025e-07,5.733200000008764619e-04,-1.060120136500000001e+02,-1.273740140000000025e+02
1.023292989999999986e-01,-8.300000002847696123e-07,5.866800000262628600e-04,-1.058108618699999965e+02,-1.271578650000000010e+02
1.047128549999999936e-01,-8.199999999014551122e-07,6.007599999975354876e-04,-1.056097534599999932e+02,-1.269423319999999933e+02
1.071519310000000058e-01,-8.300000002847696123e-07,6.145499999945513991e-04,-1.054086871599999995e+02,-1.267273950000000013e+02
1.096478199999999931e-01,-8.299999998406804025e-07,6.288799999936145468e-04,-1.052076617299999981e+02,-1.265130369999999971e+02
1.122018449999999945e-01,-8.199999999014551122e-07,6.433899999933601066e-04,-1.050066758600000014e+02,-1.262992380000000026e+02
1.148153620000000041e-01,-8.199999999014551122e-07,6.594200000051841926e-04,-1.048057283499999954e+02,-1.260859800000000064e+02
1.174897550000000013e-01,-8.299999998406804025e-07,6.738900000016201375e-04,-1.046048178400000097e+02,-1.258732449999999972e+02
1.202264430000000023e-01,-8.199999999014551122e-07,6.902400000114994327e-04,-1.044039431600000114e+02,-1.256610150000000061e+02
1.230268770000000067e-01,-8.199999999014551122e-07,7.063199999777225457e-04,-1.042031032000000010e+02,-1.254492730000000051e+02
1.258925409999999967e-01,-8.099999999622298219e-07,7.232600000008915231e-04,-1.040022966399999973e+02,-1.252380019999999945e+02
1.288249549999999910e-01,-8.099999999622298219e-07,7.394200000021555752e-04,-1.038015224100000040e+02,-1.250271860000000004e+02
1.318256740000000038e-01,-8.099999999622298219e-07,7.572499999923820724e-04,-1.036007793599999900e+02,-1.248168069999999972e+02
1.348962880000000031e-01,-8.099999999622298219e-07,7.752100000004702451e-04,-1.034000664100000080e+02,-1.246068520000000035e+02
1.380384259999999919e-01,-8.000000000230045316e-07,7.926600000018879655e-04,-1.031993823999999904e+02,-1.243973029999999937e+02
1.412537540000000091e-01,-7.900000000837792413e-07,8.117799999922681309e-04,-1.029987264300000049e+02,-1.241881460000000033e+02
1.445439769999999902e-01,-7.900000000837792413e-07,8.304600000030859519e-04,-1.027980973100000028e+02,-1.239793669999999963e+02
1.479108389999999884e-01,-7.799999997004647412e-07,8.492100000125901715e-04,-1.025974941899999919e+02,-1.237709509999999966e+02
1.513561250000000080e-01,-7.699999997612394509e-07,8.691000000169424311e-04,-1.023969160099999982e+02,-1.235628849999999943e+02
1.548816620000000033e-01,-7.599999998220141606e-07,8.896000000220283255e-04,-1.021963618599999961e+02,-1.233551549999999963e+02
1.584893189999999896e-01,-7.599999998220141606e-07,9.105900000179190101e-04,-1.019958307199999865e+02,-1.231477490000000046e+02
1.621810099999999866e-01,-7.499999998827888703e-07,9.322100000019872823e-04,-1.017953219000000047e+02,-1.229406529999999975e+02
1.659586909999999915e-01,-7.399999999435635800e-07,9.537999999906787707e-04,-1.015948344699999950e+02,-1.227338570000000004e+02
1.698243650000000049e-01,-7.399999999435635800e-07,9.758399999952871440e-04,-1.013943675799999937e+02,-1.225273470000000060e+02
1.737800830000000019e-01,-7.200000000651129994e-07,9.988500000019939762e-04,-1.011939204199999978e+02,-1.223211129999999969e+02
1.778279409999999894e-01,-7.200000000651129994e-07,1.022339999991572768e-03,-1.009934922399999948e+02,-1.221151440000000008e+02
1.819700860000000031e-01,-7.099999996817984993e-07,1.045760000010886870e-03,-1.007930821500000036e+02,-1.219094290000000029e+02
1.862087139999999974e-01,-6.999999997425732090e-07,1.070400000003246532e-03,-1.005926896100000079e+02,-1.217039570000000026e+02
1.905460720000000108e-01,-6.799999998641226284e-07,1.095340000006217451e-03,-1.003923139600000098e+02,-1.214987200000000058e+02
1.949844599999999983e-01,-6.699999999248973381e-07,1.120430000014493999e-03,-1.001919542699999965e+02,-1.212937079999999952e+02
1.995262309999999983e-01,-6.599999999856720478e-07,1.147190000011732991e-03,-9.999161010000000260e+01,-1.210889109999999960e+02
2.041737939999999918e-01,-6.399999996631322574e-07,1.173760000000356740e-03,-9.979128077000000019e+01,-1.208843200000000024e+02
2.089296129999999863e-01,-6.199999997846816768e-07,1.200909999994337340e-03,-9.959096565999999484e+01,-1.206799280000000039e+02
2.137962089999999871e-01,-6.200000002287708867e-07,1.228929999996353217e-03,-9.939066411999999673e+01,-1.204757259999999945e+02
2.187761619999999962e-01,-5.999999999062310962e-07,1.257610000010345175e-03,-9.919037568000000249e+01,-1.202717059999999947e+02
2.238721140000000109e-01,-5.800000000277805157e-07,1.287209999986771436e-03,-9.899009983999999918e+01,-1.200678599999999960e+02
2.290867649999999978e-01,-5.599999997052407252e-07,1.317419999992353041e-03,-9.878983597999999233e+01,-1.198641810000000021e+02
2.344228819999999991e-01,-5.399999998267901447e-07,1.348300000017843558e-03,-9.858958355000000040e+01,-1.196606620000000021e+02
2.398832919999999980e-01,-5.199999999483395641e-07,1.379280000008975549e-03,-9.838934229999999559e+01,-1.194572969999999970e+02
2.454708919999999961e-01,-5.000000000698889835e-07,1.411139999987653937e-03,-9.818911157000000856e+01,-1.192540790000000044e+02
2.511886429999999892e-01,-4.800000001914384029e-07,1.444910000003574169e-03,-9.798889095999999199e+01,-1.190510019999999969e+02
2.570395779999999908e-01,-4.600000003129878223e-07,1.477940000000899090e-03,-9.778867999999999938e+01,-1.188480590000000063e+02
2.630267989999999778e-01,-4.300000000512227416e-07,1.512800000000424916e-03,-9.758847839999999962e+01,-1.186452450000000027e+02
2.691534800000000005e-01,-4.100000001727721610e-07,1.548296000009941054e-03,-9.738828566000000819e+01,-1.184425549999999987e+02
2.754228699999999863e-01,-3.799999999110070803e-07,1.584443999973927930e-03,-9.718810149000000820e+01,-1.182399829999999952e+02
2.818382930000000175e-01,-3.500000000933312094e-07,1.620439999982181689e-03,-9.698792541999999628e+01,-1.180375250000000023e+02
2.884031499999999970e-01,-3.299999997707914190e-07,1.658653999982107052e-03,-9.678775726000000645e+01,-1.178351750000000067e+02
2.951209229999999795e-01,-2.999999999531155481e-07,1.697608999990052325e-03,-9.658759655000000066e+01,-1.176329280000000068e+02
