f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
1.000000000000000056e-01,-6.000000003503203061e-07,5.827999999894473149e-04,-1.058727130200000062e+02,-1.000569469999999939e+02
1.023292989999999986e-01,-5.999999999062310962e-07,5.960800000082144834e-04,-1.056718641700000063e+02,-9.985000479999999357e+01
1.047128549999999936e-01,-5.899999999670058060e-07,6.102299999781735096e-04,-1.054710471400000102e+02,-9.964331119999999942e+01
1.071519310000000058e-01,-5.900000004110950158e-07,6.249000000195792381e-04,-1.052702612100000010e+02,-9.943685940000000301e+01
1.096478199999999931e-01,-5.899999999670058060e-07,6.396299999948951154e-04,-1.050695053100000109e+02,-9.923064320000000293e+01
1.122018449999999945e-01,-5.899999999670058060e-07,6.537900000012086821e-04,-1.048687785700000035e+02,-9.902465599999999313e+01
1.148153620000000041e-01,-5.899999999670058060e-07,6.694500000037351128e-04,-1.046680800399999924e+02,-9.881889139999999827e+01
1.174897550000000013e-01,-5.800000000277805157e-07,6.852999999864550773e-04,-1.044674087199999946e+02,-9.861334300000000042e+01
1.202264430000000023e-01,-5.800000000277805157e-07,7.015600000102040212e-04,-1.042667639000000008e+02,-9.840800450000000410e+01
1.230268770000000067e-01,-5.800000000277805157e-07,7.178699999883519922e-04,-1.040661446000000012e+02,-9.820286950000000559e+01
1.258925409999999967e-01,-5.800000000277805157e-07,7.341799999949216726e-04,-1.038655498599999873e+02,-9.799793169999999520e+01
1.288249549999999910e-01,-5.700000000885552254e-07,7.516900000155146699e-04,-1.036649789800000008e+02,-9.779318489999999997e+01
1.318256740000000038e-01,-5.699999996444660155e-07,7.687000000089483365e-04,-1.034644310199999921e+02,-9.758862299999999834e+01
1.348962880000000031e-01,-5.599999997052407252e-07,7.865299999991748336e-04,-1.032639052899999967e+02,-9.738424000000000547e+01
1.380384259999999919e-01,-5.599999997052407252e-07,8.054200000060518505e-04,-1.030634009500000019e+02,-9.718002989999999386e+01
1.412537540000000091e-01,-5.499999997660154349e-07,8.244400000023688335e-04,-1.028629171799999966e+02,-9.697598689999999522e+01
1.445439769999999902e-01,-5.399999998267901447e-07,8.433899999999994179e-04,-1.026624531900000079e+02,-9.677210530000000688e+01
1.479108389999999884e-01,-5.499999997660154349e-07,8.627100000069276575e-04,-1.024620084200000036e+02,-9.656837950000000603e+01
1.513561250000000080e-01,-5.400000002708793545e-07,8.833800000047631329e-04,-1.022615820299999996e+02,-9.636480410000000063e+01
1.548816620000000033e-01,-5.299999998875648544e-07,9.038400000065394124e-04,-1.020611732699999976e+02,-9.616137360000000456e+01
1.584893189999999896e-01,-5.199999999483395641e-07,9.248899999931836646e-04,-1.018607816499999927e+02,-9.595808300000000202e+01
1.621810099999999866e-01,-5.100000000091142738e-07,9.466399999951136124e-04,-1.016604064200000010e+02,-9.575492699999999502e+01
1.659586909999999915e-01,-4.999999996257997736e-07,9.684100000129092223e-04,-1.014600469000000089e+02,-9.555190079999999853e+01
1.698243650000000049e-01,-5.000000000698889835e-07,9.916399999951863720e-04,-1.012597024799999872e+02,-9.534899950000000501e+01
1.737800830000000019e-01,-4.900000001306636932e-07,1.013849999992544326e-03,-1.010593726900000036e+02,-9.514621839999999509e+01
1.778279409999999894e-01,-4.800000001914384029e-07,1.037559999986115145e-03,-1.008590569099999925e+02,-9.494355310000000259e+01
1.819700860000000031e-01,-4.699999998081239028e-07,1.062189999998963685e-03,-1.006587544899999926e+02,-9.474099909999999625e+01
1.862087139999999974e-01,-4.599999998688986125e-07,1.087040000015804253e-03,-1.004584650299999993e+02,-9.453855210000000397e+01
1.905460720000000108e-01,-4.399999999904480319e-07,1.112210000002278321e-03,-1.002581878900000021e+02,-9.433620799999999917e+01
1.949844599999999983e-01,-4.300000000512227416e-07,1.138570000023264583e-03,-1.000579227000000060e+02,-9.413396280000000615e+01
1.995262309999999983e-01,-4.200000001119974513e-07,1.164639999984729002e-03,-9.985766882999999439e+01,-9.393181260000000066e+01
2.041737939999999918e-01,-4.100000001727721610e-07,1.191620000014381731e-03,-9.965742593999999599e+01,-9.372975370000000339e+01
2.089296129999999863e-01,-3.900000002943215804e-07,1.220279999984086317e-03,-9.945719352999999785e+01,-9.352778240000000665e+01
2.137962089999999871e-01,-3.699999999717817900e-07,1.247940000013159079e-03,-9.925697120000000950e+01,-9.332589529999999911e+01
2.187761619999999962e-01,-3.600000000325564997e-07,1.277450000003454988e-03,-9.905675857999999323e+01,-9.312408890000000383e+01
2.238721140000000109e-01,-3.400000001541059191e-07,1.307090000011612574e-03,-9.885655511999999590e+01,-9.292235999999999763e+01
2.290867649999999978e-01,-3.299999997707914190e-07,1.337579999983518064e-03,-9.865636062000000095e+01,-9.272070549999999400e+01
2.344228819999999991e-01,-2.999999999531155481e-07,1.369040000014365432e-03,-9.845617455000000007e+01,-9.251912230000000648e+01
2.398832919999999980e-01,-2.900000000138902578e-07,1.400960000012219098e-03,-9.825599660000000313e+01,-9.231760760000000232e+01
2.454708919999999961e-01,-2.700000001354396773e-07,1.433120000001508743e-03,-9.805582651000000283e+01,-9.211615840000000333e+01
2.511886429999999892e-01,-2.399999998736745965e-07,1.466630000010127333e-03,-9.785566393000000573e+01,-9.191477220000000159e+01
2.570395779999999908e-01,-2.199999999952240159e-07,1.500880000008919524e-03,-9.765550847999999462e+01,-9.171344630000000109e+01
2.630267989999999778e-01,-2.000000001167734354e-07,1.535480000001143708e-03,-9.745535992000000647e+01,-9.151217809999999986e+01
2.691534800000000005e-01,-1.700000002990975645e-07,1.571299999994835161e-03,-9.725521795000000225e+01,-9.131096540000000061e+01
2.754228699999999863e-01,-1.499999999765577741e-07,1.608382999989999007e-03,-9.705508222000000274e+01,-9.110980569999999545e+01
2.818382930000000175e-01,-1.200000001588819032e-07,1.645991000003732552e-03,-9.685495254999999304e+01,-9.090869689999999537e+01
2.884031499999999970e-01,-9.000000034120603232e-08,1.684535999999070555e-03,-9.665482869999999593e+01,-9.070763680000000306e+01
