vd_source_v,vout_diff_v
-9.000000000000000222e-01,1.178069690000000058e+00
-8.850000000000000089e-01,1.178038719999999984e+00
-8.699999999999999956e-01,1.178000060000000015e+00
-8.549999999999999822e-01,1.177951280000000045e+00
-8.399999999999999689e-01,1.177889219999999959e+00
-8.249999999999999556e-01,1.177809710000000010e+00
-8.100000000000000533e-01,1.177707269999999973e+00
-7.950000000000000400e-01,1.177574740000000064e+00
-7.800000000000000266e-01,1.177402749999999942e+00
-7.650000000000000133e-01,1.177179049999999894e+00
-7.500000000000000000e-01,1.176887639999999902e+00
-7.349999999999999867e-01,1.176507750000000074e+00
-7.199999999999999734e-01,1.176012419999999947e+00
-7.049999999999999600e-01,1.175366920000000093e+00
-6.899999999999999467e-01,1.174526689999999984e+00
-6.750000000000000444e-01,1.173435060000000085e+00
-6.600000000000000311e-01,1.172020709999999966e+00
-6.450000000000000178e-01,1.170195110000000094e+00
-6.300000000000000044e-01,1.167850180000000071e+00
-6.149999999999999911e-01,1.164856920000000073e+00
-5.999999999999999778e-01,1.161065529999999901e+00
-5.849999999999999645e-01,1.156308040000000092e+00
-5.699999999999999512e-01,1.150403939999999903e+00
-5.550000000000000488e-01,1.143169270000000015e+00
-5.400000000000000355e-01,1.134428769999999975e+00
-5.250000000000000222e-01,1.124028009999999966e+00
-5.100000000000000089e-01,1.111846029999999930e+00
-4.949999999999999956e-01,1.097803330000000077e+00
-4.799999999999999822e-01,1.081861769999999945e+00
-4.650000000000000244e-01,1.064027999999999974e+00
-4.500000000000000111e-01,1.044336759999999975e+00
-4.349999999999999978e-01,1.022851189999999910e+00
-4.199999999999999845e-01,9.996633129999999978e-01
-4.050000000000000266e-01,9.748498150000000084e-01
-3.900000000000000133e-01,9.485037499999999788e-01
-3.750000000000000000e-01,9.207156130000000438e-01
-3.599999999999999867e-01,8.915803549999999911e-01
-3.449999999999999734e-01,8.612029799999999513e-01
-3.300000000000000155e-01,8.296995470000000372e-01
-3.150000000000000022e-01,7.971892050000000118e-01
