vd_source_v,vout_diff_v
-9.000000000000000222e-01,1.118457250000000069e+00
-8.850000000000000089e-01,1.118419679999999916e+00
-8.699999999999999956e-01,1.118372109999999919e+00
-8.549999999999999822e-01,1.118311330000000048e+00
-8.399999999999999689e-01,1.118233180000000049e+00
-8.249999999999999556e-01,1.118132130000000002e+00
-8.100000000000000533e-01,1.118000969999999983e+00
-7.950000000000000400e-01,1.117830209999999935e+00
-7.800000000000000266e-01,1.117607430000000068e+00
-7.650000000000000133e-01,1.117316390000000048e+00
-7.500000000000000000e-01,1.116935959999999950e+00
-7.349999999999999867e-01,1.116438720000000107e+00
-7.199999999999999734e-01,1.115789249999999955e+00
-7.049999999999999600e-01,1.114942209999999934e+00
-6.899999999999999467e-01,1.113839990000000002e+00
-6.750000000000000444e-01,1.112410239999999995e+00
-6.600000000000000311e-01,1.110563600000000095e+00
-6.450000000000000178e-01,1.108191630000000094e+00
-6.300000000000000044e-01,1.105166080000000051e+00
-6.149999999999999911e-01,1.101339840000000070e+00
-5.999999999999999778e-01,1.096550560000000063e+00
-5.849999999999999645e-01,1.090627430000000064e+00
-5.699999999999999512e-01,1.083400659999999904e+00
-5.550000000000000488e-01,1.074714069999999966e+00
-5.400000000000000355e-01,1.064435149999999997e+00
-5.250000000000000222e-01,1.052466520000000072e+00
-5.100000000000000089e-01,1.038749439999999913e+00
-4.949999999999999956e-01,1.023265909999999890e+00
-4.799999999999999822e-01,1.006038999999999906e+00
-4.650000000000000244e-01,9.871153110000000508e-01
-4.500000000000000111e-01,9.665721800000000030e-01
-4.349999999999999978e-01,9.445043360000000554e-01
-4.199999999999999845e-01,9.210193779999999997e-01
-4.050000000000000266e-01,8.962313969999999852e-01
-3.900000000000000133e-01,8.702546070000000134e-01
-3.750000000000000000e-01,8.431982449999999574e-01
-3.599999999999999867e-01,8.151636180000000342e-01
-3.449999999999999734e-01,7.862430830000000093e-01
-3.300000000000000155e-01,7.565201750000000169e-01
-3.150000000000000022e-01,7.260702589999999956e-01
-2.999999999999999889e-01,6.949613249999999631e-01
-2.849999999999999756e-01,6.632547899999999830e-01
-2.700000000000000178e-01,6.310062469999999646e-01
-2.550000000000000044e-01,5.982661439999999997e-01
-2.399999999999999911e-01,5.650479309999999478e-01
-2.250000000000000056e-01,5.314587139999999987e-01
-2.099999999999999922e-01,4.975045459999999919e-01
-1.950000000000000067e-01,4.632208050000000132e-01
-1.799999999999999933e-01,4.286401930000000027e-01
-1.650000000000000078e-01,3.937930780000000186e-01
-1.499999999999999944e-01,3.587078009999999928e-01
-1.350000000000000089e-01,3.234109350000000105e-01
-1.199999999999999956e-01,2.879275319999999860e-01
-1.049999999999999961e-01,2.522216609999999859e-01
-8.999999999999999667e-02,2.164428879999999999e-01
-7.499999999999999722e-02,1.805460289999999968e-01
-5.999999999999999778e-02,1.445519120000000046e-01
-4.499999999999999833e-02,1.084807289999999980e-01
-2.999999999999999889e-02,7.229901869999999509e-02
-1.499999999999999944e-02,3.615889929999999836e-02
6.522560270000000373e-16,3.216982239999999890e-12
1.499999999999999944e-02,-3.615889929999999836e-02
2.999999999999999889e-02,-7.229901869999999509e-02
4.499999999999999833e-02,-1.084807289999999980e-01
5.999999999999999778e-02,-1.445519120000000046e-01
7.499999999999999722e-02,-1.805460289999999968e-01
8.999999999999999667e-02,-2.164428879999999999e-01
1.049999999999999961e-01,-2.522216609999999859e-01
1.199999999999999956e-01,-2.879275319999999860e-01
1.350000000000000089e-01,-3.234109350000000105e-01
1.499999999999999944e-01,-3.587078009999999928e-01
1.650000000000000078e-01,-3.937930780000000186e-01
1.799999999999999933e-01,-4.286401930000000027e-01
1.950000000000000067e-01,-4.632208050000000132e-01
2.099999999999999922e-01,-4.975045459999999919e-01
2.250000000000000056e-01,-5.314587139999999987e-01
2.399999999999999911e-01,-5.650479309999999478e-01
2.550000000000000044e-01,-5.982661439999999997e-01
2.700000000000000178e-01,-6.310062469999999646e-01
2.849999999999999756e-01,-6.632547899999999830e-01
2.999999999999999889e-01,-6.949613249999999631e-01
3.150000000000000022e-01,-7.260702589999999956e-01
3.300000000000000155e-01,-7.565201750000000169e-01
3.449999999999999734e-01,-7.862430830000000093e-01
3.599999999999999867e-01,-8.151636180000000342e-01
3.750000000000000000e-01,-8.431982449999999574e-01
3.900000000000000133e-01,-8.702546070000000134e-01
4.050000000000000266e-01,-8.962313969999999852e-01
4.199999999999999845e-01,-9.210193779999999997e-01
4.349999999999999978e-01,-9.445043360000000554e-01
4.500000000000000111e-01,-9.665721800000000030e-01
4.650000000000000244e-01,-9.871153110000000508e-01
4.799999999999999822e-01,-1.006038999999999906e+00
4.949999999999999956e-01,-1.023265909999999890e+00
5.100000000000000089e-01,-1.038749439999999913e+00
5.250000000000000222e-01,-1.052466520000000072e+00
5.400000000000000355e-01,-1.064435149999999997e+00
5.550000000000000488e-01,-1.074714069999999966e+00
5.699999999999999512e-01,-1.083400659999999904e+00
5.849999999999999645e-01,-1.090627430000000064e+00
5.999999999999999778e-01,-1.096550560000000063e+00
6.149999999999999911e-01,-1.101339840000000070e+00
6.300000000000000044e-01,-1.105166080000000051e+00
6.450000000000000178e-01,-1.108191630000000094e+00
6.600000000000000311e-01,-1.110563600000000095e+00
6.750000000000000444e-01,-1.112410239999999995e+00
6.899999999999999467e-01,-1.113839990000000002e+00
7.049999999999999600e-01,-1.114942209999999934e+00
7.199999999999999734e-01,-1.115789249999999955e+00
7.349999999999999867e-01,-1.116438720000000107e+00
7.500000000000000000e-01,-1.116935959999999950e+00
7.650000000000000133e-01,-1.117316390000000048e+00
7.800000000000000266e-01,-1.117607430000000068e+00
7.950000000000000400e-01,-1.117830209999999935e+00
8.100000000000000533e-01,-1.118000969999999983e+00
8.249999999999999556e-01,-1.118132130000000002e+00
8.399999999999999689e-01,-1.118233180000000049e+00
8.549999999999999822e-01,-1.118311330000000048e+00
8.699999999999999956e-01,-1.118372109999999919e+00
8.850000000000000089e-01,-1.118419679999999916e+00
9.000000000000000222e-01,-1.118457250000000069e+00
