vd_source_v,vout_diff_v
-9.000000000000000222e-01,1.052782410000000057e+00
-8.850000000000000089e-01,1.052762589999999943e+00
-8.699999999999999956e-01,1.052738090000000071e+00
-8.549999999999999822e-01,1.052707489999999968e+00
-8.399999999999999689e-01,1.052668869999999979e+00
-8.249999999999999556e-01,1.052619769999999955e+00
-8.100000000000000533e-01,1.052556929999999946e+00
-7.950000000000000400e-01,1.052476119999999904e+00
-7.800000000000000266e-01,1.052371790000000029e+00
-7.650000000000000133e-01,1.052236710000000075e+00
-7.500000000000000000e-01,1.052061439999999903e+00
-7.349999999999999867e-01,1.051833709999999922e+00
-7.199999999999999734e-01,1.051537539999999993e+00
-7.049999999999999600e-01,1.051152279999999939e+00
-6.899999999999999467e-01,1.050651229999999936e+00
-6.750000000000000444e-01,1.050000089999999942e+00
-6.600000000000000311e-01,1.049155110000000057e+00
-6.450000000000000178e-01,1.048060790000000075e+00
-6.300000000000000044e-01,1.046647619999999890e+00
-6.149999999999999911e-01,1.044829580000000036e+00
-5.999999999999999778e-01,1.042502100000000098e+00
-5.849999999999999645e-01,1.039540630000000077e+00
-5.699999999999999512e-01,1.035801049999999890e+00
-5.550000000000000488e-01,1.031121879999999935e+00
-5.400000000000000355e-01,1.025329829999999998e+00
-5.250000000000000222e-01,1.018247930000000023e+00
-5.100000000000000089e-01,1.009706549999999980e+00
-4.949999999999999956e-01,9.995550899999999794e-01
-4.799999999999999822e-01,9.876723170000000218e-01
-4.650000000000000244e-01,9.739765999999999702e-01
-4.500000000000000111e-01,9.584240539999999697e-01
-4.349999999999999978e-01,9.410126290000000449e-01
-4.199999999999999845e-01,9.217755979999999738e-01
-4.050000000000000266e-01,9.007767740000000023e-01
-3.900000000000000133e-01,8.781049090000000445e-01
-3.750000000000000000e-01,8.538675570000000548e-01
-3.599999999999999867e-01,8.281837149999999870e-01
-3.449999999999999734e-01,8.011758469999999965e-01
-3.300000000000000155e-01,7.729632279999999467e-01
-3.150000000000000022e-01,7.436579269999999964e-01
-2.999999999999999889e-01,7.133631940000000338e-01
-2.849999999999999756e-01,6.821732889999999605e-01
-2.700000000000000178e-01,6.501739490000000288e-01
