vd_source_v,vout_diff_v
-9.000000000000000222e-01,1.102603500000000070e+00
-8.850000000000000089e-01,1.102574790000000027e+00
-8.699999999999999956e-01,1.102538849999999959e+00
-8.549999999999999822e-01,1.102493450000000097e+00
-8.399999999999999689e-01,1.102435669999999979e+00
-8.249999999999999556e-01,1.102361729999999929e+00
-8.100000000000000533e-01,1.102266659999999954e+00
-7.950000000000000400e-01,1.102143990000000073e+00
-7.800000000000000266e-01,1.101985299999999945e+00
-7.650000000000000133e-01,1.101779620000000071e+00
-7.500000000000000000e-01,1.101512730000000051e+00
-7.349999999999999867e-01,1.101166190000000045e+00
-7.199999999999999734e-01,1.100716210000000084e+00
-7.049999999999999600e-01,1.100132220000000105e+00
-6.899999999999999467e-01,1.099375119999999928e+00
-6.750000000000000444e-01,1.098395320000000064e+00
-6.600000000000000311e-01,1.097130450000000090e+00
-6.450000000000000178e-01,1.095503099999999952e+00
-6.300000000000000044e-01,1.093418549999999989e+00
-6.149999999999999911e-01,1.090763350000000020e+00
-5.999999999999999778e-01,1.087404629999999983e+00
-5.849999999999999645e-01,1.083192039999999912e+00
-5.699999999999999512e-01,1.077961450000000099e+00
-5.550000000000000488e-01,1.071542269999999908e+00
-5.400000000000000355e-01,1.063766680000000076e+00
-5.250000000000000222e-01,1.054482340000000073e+00
-5.100000000000000089e-01,1.043562490000000009e+00
-4.949999999999999956e-01,1.030913179999999985e+00
-4.799999999999999822e-01,1.016484010000000104e+00
-4.650000000000000244e-01,1.000260949999999927e+00
-4.500000000000000111e-01,9.822586760000000528e-01
-4.349999999999999978e-01,9.625359180000000459e-01
-4.199999999999999845e-01,9.411572440000000039e-01
-4.050000000000000266e-01,9.182021479999999958e-01
-3.900000000000000133e-01,8.937551700000000432e-01
-3.750000000000000000e-01,8.679038679999999673e-01
-3.599999999999999867e-01,8.407406299999999888e-01
-3.449999999999999734e-01,8.123663199999999751e-01
-3.300000000000000155e-01,7.828907139999999876e-01
-3.150000000000000022e-01,7.524262449999999935e-01
-2.999999999999999889e-01,7.210787619999999842e-01
-2.849999999999999756e-01,6.889419409999999466e-01
-2.700000000000000178e-01,6.560968849999999630e-01
-2.550000000000000044e-01,6.226141990000000348e-01
-2.399999999999999911e-01,5.885562650000000229e-01
-2.250000000000000056e-01,5.539789870000000338e-01
-2.099999999999999922e-01,5.189330100000000279e-01
-1.950000000000000067e-01,4.834645879999999729e-01
-1.799999999999999933e-01,4.476162510000000205e-01
-1.650000000000000078e-01,4.114273239999999832e-01
-1.499999999999999944e-01,3.748783800000000110e-01
-1.350000000000000089e-01,3.381195180000000078e-01
-1.199999999999999956e-01,3.011234620000000084e-01
-1.049999999999999961e-01,2.639205510000000032e-01
-8.999999999999999667e-02,2.265396329999999903e-01
-7.499999999999999722e-02,1.890083090000000132e-01
-5.999999999999999778e-02,1.512835899999999956e-01
-4.499999999999999833e-02,1.135472029999999993e-01
-2.999999999999999889e-02,7.573822090000000007e-02
-1.499999999999999944e-02,3.783324889999999802e-02
6.522560270000000373e-16,2.811972880000000070e-12
1.499999999999999944e-02,-3.783324889999999802e-02
2.999999999999999889e-02,-7.573822090000000007e-02
4.499999999999999833e-02,-1.135472029999999993e-01
5.999999999999999778e-02,-1.512835899999999956e-01
7.499999999999999722e-02,-1.890083090000000132e-01
8.999999999999999667e-02,-2.265396329999999903e-01
1.049999999999999961e-01,-2.639205510000000032e-01
1.199999999999999956e-01,-3.011234620000000084e-01
1.350000000000000089e-01,-3.381195180000000078e-01
1.499999999999999944e-01,-3.748783800000000110e-01
1.650000000000000078e-01,-4.114273239999999832e-01
1.799999999999999933e-01,-4.476162510000000205e-01
1.950000000000000067e-01,-4.834645879999999729e-01
2.099999999999999922e-01,-5.189330100000000279e-01
2.250000000000000056e-01,-5.539789870000000338e-01
2.399999999999999911e-01,-5.885562650000000229e-01
2.550000000000000044e-01,-6.226141990000000348e-01
2.700000000000000178e-01,-6.560968849999999630e-01
2.849999999999999756e-01,-6.889419409999999466e-01
2.999999999999999889e-01,-7.210787619999999842e-01
3.150000000000000022e-01,-7.524262449999999935e-01
3.300000000000000155e-01,-7.828907139999999876e-01
3.449999999999999734e-01,-8.123663199999999751e-01
3.599999999999999867e-01,-8.407406299999999888e-01
3.750000000000000000e-01,-8.679038679999999673e-01
3.900000000000000133e-01,-8.937551700000000432e-01
4.050000000000000266e-01,-9.182021479999999958e-01
4.199999999999999845e-01,-9.411572440000000039e-01
4.349999999999999978e-01,-9.625359180000000459e-01
4.500000000000000111e-01,-9.822586760000000528e-01
4.650000000000000244e-01,-1.000260949999999927e+00
4.799999999999999822e-01,-1.016484010000000104e+00
4.949999999999999956e-01,-1.030913179999999985e+00
5.100000000000000089e-01,-1.043562490000000009e+00
5.250000000000000222e-01,-1.054482340000000073e+00
5.400000000000000355e-01,-1.063766680000000076e+00
5.550000000000000488e-01,-1.071542269999999908e+00
5.699999999999999512e-01,-1.077961450000000099e+00
5.849999999999999645e-01,-1.083192039999999912e+00
5.999999999999999778e-01,-1.087404629999999983e+00
6.149999999999999911e-01,-1.090763350000000020e+00
6.300000000000000044e-01,-1.093418549999999989e+00
6.450000000000000178e-01,-1.095503099999999952e+00
6.600000000000000311e-01,-1.097130450000000090e+00
6.750000000000000444e-01,-1.098395320000000064e+00
6.899999999999999467e-01,-1.099375119999999928e+00
7.049999999999999600e-01,-1.100132220000000105e+00
7.199999999999999734e-01,-1.100716210000000084e+00
7.349999999999999867e-01,-1.101166190000000045e+00
7.500000000000000000e-01,-1.101512730000000051e+00
7.650000000000000133e-01,-1.101779620000000071e+00
7.800000000000000266e-01,-1.101985299999999945e+00
7.950000000000000400e-01,-1.102143990000000073e+00
8.100000000000000533e-01,-1.102266659999999954e+00
8.249999999999999556e-01,-1.102361729999999929e+00
8.399999999999999689e-01,-1.102435669999999979e+00
8.549999999999999822e-01,-1.102493450000000097e+00
8.699999999999999956e-01,-1.102538849999999959e+00
8.850000000000000089e-01,-1.102574790000000027e+00
9.000000000000000222e-01,-1.102603500000000070e+00
