metric,a,b,c,d,e,f
area_um2,,7374.224000000001,7551.672,6880.257600000001,7055.286,7268.465000000001
bw,66.58935104258315,51.57724307153131,58.795025028155415,61.05083250474958,61.09611618948972,61.1005012341077
bw_lsb,92.73660096116492,67.62038558905775,78.89940782772524,82.37918192339683,82.54837135319504,81.42377023158771
bw_msb,66.58935104258315,51.57724307153131,58.795025028155415,61.05083250474958,61.09611618948972,61.1005012341077
c_outn_gnd_ff,,15.547423700000001,17.77691194,14.999058000000002,14.073910000000001,12.389520200000003
c_outp_gnd_ff,,14.7867737,16.35253394,11.845314100000003,11.3973808,11.6614042
cm_dm_db,-282.680964,-30.636748416334118,-50.64402050424933,-62.770097775410825,-65.8402302869526,-72.83948344471698
cm_leak_dbc,-291.62847582,-52.80937222538864,-46.52480377252983,-39.45375342659628,-40.93380572612213,-52.651504129246234
cm_leak_dbc_lsb,,-50.959844260770836,-45.77840054214258,-39.16835490910106,-40.45383946535694,-51.42136650976541
drc_pass,,1.0,1.0,1.0,1.0,1.0
eye_fs_min_v,,,,,,0.6753672
eye_fs_min_width_ps,,,,,,17.11220519720718
eye_fs_nsym,,,,,,10000
eye_fs_rlm,,,,,,0.9960923515074176
eye_fs_vpp,,,,,,2.1083058599999998
eye_min_v,0.254065731,0.2435141158,0.22952563450000002,0.2299348795,0.2325729344,0.23368351129999998
eye_rlm,0.9950782162089395,0.9904919331865216,0.9947473643074896,0.9948791945799104,0.9944726614464464,0.9960838598803798
eye_vpp,0.87450685,0.860080979,0.7974673109999999,0.793453596,0.794374208,0.8057426139999999
height_um,,62.92,75.82,70.48,69.2,74.74000000000001
ic_ma_per_finger,2.6666666666666665,2.6666666666666665,2.5,2.655,2.58295,2.3326333333333333
lsb_gain,3.09031359,2.94807457,2.27322126,2.23225342,2.26943826,2.37970618
lvs_match,,1.0,1.0,1.0,1.0,1.0
msb_gain,9.06041338,8.91855433,8.24896605,8.20454565,8.2442787,8.35827278
n_parasitics,,135.0,131.0,126.0,127.0,126.0
pex_n_c,,135,131,126,127,126
pex_n_r,,0,0,0,0,0
pn_gain_imb_db,0.0,0.016722285000000003,0.028479507000000015,0.05270322599999999,0.046990598999999994,0.01670370400000004
pn_gain_imb_db_lsb,,0.013604570000000038,0.027149099999999926,0.05127452999999971,0.04345475000000043,0.014263230000000071
pn_phase_imb_deg,4.999999987376214e-07,0.23709930000001123,0.505449800000008,1.1663460999999984,0.9784568000000036,0.24247239999999692
pn_phase_imb_deg_lsb,,0.31088599999998223,0.5596815000000106,1.211361299999993,1.0461296000000004,0.2920864000000165
power,191.02721522170543,191.02732721240312,179.1230747472868,190.19263383255813,185.0472541612403,167.16412664496121
s11,-10.873713058911163,-8.89712899381931,-9.941061684360148,-10.046217719806679,-10.033637848214495,-10.156641989696848
s11_edge_ghz,36.142831498500996,27.424173146617104,31.73661561930895,32.204684233906036,32.148349560232546,32.70495828495619
s11_edge_lsb,78.42908717666079,,,,,
s11_edge_msb,36.142831498500996,,,,,
s11_lsb,-16.433948937017735,-13.780270828859415,-15.505179542642527,-15.085217871950901,-15.117818351786783,-15.131967113447267
s11_msb,-10.873713058911163,-8.89712899381931,-9.941061684360148,-10.046217719806679,-10.033637848214495,-10.156641989696848
s22,-14.751502713692664,-7.965168663836293,-9.241013312054475,-10.720097993343712,-10.714642481695108,-10.280010705927705
s22_edge_ghz,88.72742435470984,38.49006574689413,45.47298766371487,54.72876851520201,54.64165963371495,51.77224630739178
swing,2.36873876,2.35613938,2.21027662,2.25763576,2.2369145,2.10556482
tier,"(a) schematic, nominal sizing","(b) first-pass layout (v1 floorplan, nominal sizing)",(c) layout of record v2 (block-local optimizer + RF review),"(d) co-design round 2, v3 (Alg. 1 through SpiceXplorer)",(e) co-design round 3 accepted point v4 (p/n balance objective),"(f) co-design round 3 best-score point (r3_s12/run_26, the paper's design of record)"
weight,5.97009979,5.970479759999999,5.97574479,5.97229223,5.974840440000001,5.978566600000001
width_um,,117.20000000000002,99.60000000000001,97.62,101.955,97.25
