f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.181799950000000266e+00,2.201206459999999865e+00,-2.910883690000000001e+01,-3.029682929999999885e+01,-3.810009110000000021e+01
1.023292989999999986e-01,8.189047070000000872e+00,2.208515569999999872e+00,-2.910518430000000123e+01,-3.029472990000000010e+01,-3.810166449999999827e+01
1.047128549999999936e-01,8.196034159999999957e+00,2.215562550000000019e+00,-2.910164479999999898e+01,-3.029269770000000150e+01,-3.810320610000000130e+01
1.071519310000000058e-01,8.202767959999999192e+00,2.222354179999999957e+00,-2.909821510000000089e+01,-3.029073089999999979e+01,-3.810470899999999972e+01
1.096478199999999931e-01,8.209255230000000125e+00,2.228897279999999981e+00,-2.909489170000000158e+01,-3.028882760000000118e+01,-3.810616710000000040e+01
1.122018449999999945e-01,8.215502759999999682e+00,2.235198689999999822e+00,-2.909167130000000157e+01,-3.028698610000000002e+01,-3.810757449999999835e+01
1.148153620000000041e-01,8.221517349999999169e+00,2.241265240000000158e+00,-2.908855050000000020e+01,-3.028520449999999897e+01,-3.810892609999999792e+01
1.174897550000000013e-01,8.227305740000000256e+00,2.247103749999999955e+00,-2.908552560000000042e+01,-3.028348079999999953e+01,-3.811021680000000345e+01
1.202264430000000023e-01,8.232874660000000233e+00,2.252720989999999812e+00,-2.908259329999999920e+01,-3.028181329999999960e+01,-3.811144190000000265e+01
1.230268770000000067e-01,8.238230800000000187e+00,2.258123680000000189e+00,-2.907974989999999949e+01,-3.028020000000000067e+01,-3.811259729999999735e+01
1.258925409999999967e-01,8.243380739999999207e+00,2.263318470000000193e+00,-2.907699209999999823e+01,-3.027863899999999830e+01,-3.811367899999999764e+01
1.288249549999999910e-01,8.248331009999999353e+00,2.268311950000000188e+00,-2.907431619999999839e+01,-3.027712839999999872e+01,-3.811468310000000059e+01
1.318256740000000038e-01,8.253088059999999615e+00,2.273110589999999931e+00,-2.907171860000000052e+01,-3.027566630000000103e+01,-3.811560630000000316e+01
1.348962880000000031e-01,8.257658210000000665e+00,2.277720780000000111e+00,-2.906919590000000042e+01,-3.027425080000000079e+01,-3.811644520000000114e+01
1.380384259999999919e-01,8.262047700000000106e+00,2.282148799999999866e+00,-2.906674459999999982e+01,-3.027288000000000068e+01,-3.811719680000000210e+01
1.412537540000000091e-01,8.266262629999999945e+00,2.286400819999999889e+00,-2.906436109999999928e+01,-3.027155210000000096e+01,-3.811785799999999824e+01
1.445439769999999902e-01,8.270309010000000072e+00,2.290482860000000009e+00,-2.906204200000000171e+01,-3.027026509999999959e+01,-3.811842610000000064e+01
1.479108389999999884e-01,8.274192689999999573e+00,2.294400860000000097e+00,-2.905978370000000055e+01,-3.026901730000000157e+01,-3.811889839999999907e+01
1.513561250000000080e-01,8.277919410000000866e+00,2.298160579999999786e+00,-2.905758289999999988e+01,-3.026780670000000129e+01,-3.811927229999999867e+01
1.548816620000000033e-01,8.281494759999999289e+00,2.301767669999999821e+00,-2.905543600000000026e+01,-3.026663149999999902e+01,-3.811954500000000223e+01
1.584893189999999896e-01,8.284924220000000616e+00,2.305227640000000022e+00,-2.905333960000000104e+01,-3.026549010000000095e+01,-3.811971429999999827e+01
1.621810099999999866e-01,8.288213100000000111e+00,2.308545849999999788e+00,-2.905129039999999918e+01,-3.026438050000000146e+01,-3.811977739999999670e+01
1.659586909999999915e-01,8.291366569999999214e+00,2.311727519999999814e+00,-2.904928489999999996e+01,-3.026330099999999845e+01,-3.811973189999999789e+01
1.698243650000000049e-01,8.294389680000000098e+00,2.314777750000000189e+00,-2.904731980000000036e+01,-3.026224979999999931e+01,-3.811957519999999988e+01
1.737800830000000019e-01,8.297287320000000577e+00,2.317701449999999941e+00,-2.904539180000000087e+01,-3.026122529999999955e+01,-3.811930470000000071e+01
1.778279409999999894e-01,8.300064239999999316e+00,2.320503420000000094e+00,-2.904349739999999969e+01,-3.026022559999999828e+01,-3.811891789999999958e+01
1.819700860000000031e-01,8.302725049999999385e+00,2.323188309999999923e+00,-2.904163339999999849e+01,-3.025924919999999929e+01,-3.811841199999999930e+01
1.862087139999999974e-01,8.305274210000000323e+00,2.325760629999999995e+00,-2.903979650000000134e+01,-3.025829420000000169e+01,-3.811778410000000150e+01
1.905460720000000108e-01,8.307716060000000624e+00,2.328224740000000015e+00,-2.903798330000000050e+01,-3.025735909999999862e+01,-3.811703140000000190e+01
1.949844599999999983e-01,8.310054770000000701e+00,2.330584860000000091e+00,-2.903619050000000001e+01,-3.025644210000000101e+01,-3.811615079999999978e+01
1.995262309999999983e-01,8.312294400000000749e+00,2.332845079999999793e+00,-2.903441490000000158e+01,-3.025554169999999843e+01,-3.811513910000000038e+01
2.041737939999999918e-01,8.314438870000000037e+00,2.335009349999999984e+00,-2.903265310000000099e+01,-3.025465619999999944e+01,-3.811399289999999951e+01
2.089296129999999863e-01,8.316491960000000461e+00,2.337081490000000095e+00,-2.903090179999999876e+01,-3.025378399999999957e+01,-3.811270890000000122e+01
2.137962089999999871e-01,8.318457320000000266e+00,2.339065189999999905e+00,-2.902915769999999895e+01,-3.025292340000000024e+01,-3.811128320000000258e+01
2.187761619999999962e-01,8.320338480000000203e+00,2.340963990000000106e+00,-2.902741749999999854e+01,-3.025207280000000054e+01,-3.810971210000000298e+01
2.238721140000000109e-01,8.322138839999999149e+00,2.342781340000000156e+00,-2.902567769999999925e+01,-3.025123070000000070e+01,-3.810799140000000307e+01
2.290867649999999978e-01,8.323861680000000263e+00,2.344520549999999925e+00,-2.902393509999999921e+01,-3.025039549999999977e+01,-3.810611680000000234e+01
2.344228819999999991e-01,8.325510149999999499e+00,2.346184800000000070e+00,-2.902218620000000016e+01,-3.024956540000000160e+01,-3.810408369999999678e+01
2.398832919999999980e-01,8.327087300000000525e+00,2.347777160000000141e+00,-2.902042760000000143e+01,-3.024873900000000049e+01,-3.810188749999999658e+01
2.454708919999999961e-01,8.328596069999999685e+00,2.349300589999999911e+00,-2.901865589999999884e+01,-3.024791450000000026e+01,-3.809952289999999664e+01
2.511886429999999892e-01,8.330039259999999501e+00,2.350757950000000207e+00,-2.901686739999999887e+01,-3.024709049999999877e+01,-3.809698470000000015e+01
2.570395779999999908e-01,8.331419600000000258e+00,2.352151960000000042e+00,-2.901505859999999970e+01,-3.024626519999999985e+01,-3.809426729999999850e+01
