f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.191948959999999502e+00,2.213003739999999997e+00,-2.806998400000000160e+01,-2.915522590000000136e+01,-3.624679350000000255e+01
1.023292989999999986e-01,8.199253999999999820e+00,2.220374619999999855e+00,-2.806658080000000055e+01,-2.915328729999999879e+01,-3.624831439999999816e+01
1.047128549999999936e-01,8.206296959999999530e+00,2.227481190000000222e+00,-2.806328500000000048e+01,-2.915141140000000064e+01,-3.624981350000000191e+01
1.071519310000000058e-01,8.213084630000000885e+00,2.234330289999999941e+00,-2.806009359999999830e+01,-2.914959680000000120e+01,-3.625128509999999693e+01
1.096478199999999931e-01,8.219623820000000691e+00,2.240928789999999893e+00,-2.805700339999999926e+01,-2.914784159999999957e+01,-3.625272379999999828e+01
1.122018449999999945e-01,8.225921380000000838e+00,2.247283579999999947e+00,-2.805401129999999910e+01,-2.914614440000000073e+01,-3.625412490000000076e+01
1.148153620000000041e-01,8.231984139999999783e+00,2.253401549999999975e+00,-2.805111429999999828e+01,-2.914450330000000022e+01,-3.625548380000000037e+01
1.174897550000000013e-01,8.237818920000000489e+00,2.259289560000000030e+00,-2.804830899999999971e+01,-2.914291670000000067e+01,-3.625679650000000009e+01
1.202264430000000023e-01,8.243432500000000829e+00,2.264954449999999841e+00,-2.804559240000000031e+01,-2.914138289999999998e+01,-3.625805919999999816e+01
1.230268770000000067e-01,8.248831579999999164e+00,2.270402990000000010e+00,-2.804296109999999942e+01,-2.913990009999999842e+01,-3.625926830000000223e+01
1.258925409999999967e-01,8.254022850000000133e+00,2.275641890000000167e+00,-2.804041199999999989e+01,-2.913846660000000099e+01,-3.626042069999999740e+01
1.288249549999999910e-01,8.259012849999999517e+00,2.280677779999999988e+00,-2.803794189999999986e+01,-2.913708069999999850e+01,-3.626151349999999951e+01
1.318256740000000038e-01,8.263808089999999495e+00,2.285517190000000198e+00,-2.803554760000000101e+01,-2.913574059999999832e+01,-3.626254399999999833e+01
1.348962880000000031e-01,8.268414950000000374e+00,2.290166580000000174e+00,-2.803322569999999914e+01,-2.913444469999999953e+01,-3.626350959999999901e+01
1.380384259999999919e-01,8.272839709999999513e+00,2.294632260000000201e+00,-2.803097329999999943e+01,-2.913319119999999884e+01,-3.626440809999999715e+01
1.412537540000000091e-01,8.277088519999999505e+00,2.298920449999999782e+00,-2.802878700000000123e+01,-2.913197840000000127e+01,-3.626523720000000139e+01
1.445439769999999902e-01,8.281167429999999996e+00,2.303037240000000097e+00,-2.802666370000000029e+01,-2.913080469999999877e+01,-3.626599490000000259e+01
1.479108389999999884e-01,8.285082349999999707e+00,2.306988590000000006e+00,-2.802460019999999830e+01,-2.912966839999999991e+01,-3.626667940000000101e+01
1.513561250000000080e-01,8.288839049999999986e+00,2.310780330000000049e+00,-2.802259349999999927e+01,-2.912856779999999901e+01,-3.626728880000000288e+01
1.548816620000000033e-01,8.292443179999999359e+00,2.314418149999999841e+00,-2.802064049999999895e+01,-2.912750129999999871e+01,-3.626782149999999660e+01
1.584893189999999896e-01,8.295900250000000753e+00,2.317907609999999785e+00,-2.801873799999999903e+01,-2.912646730000000161e+01,-3.626827560000000261e+01
1.621810099999999866e-01,8.299215609999999188e+00,2.321254109999999926e+00,-2.801688310000000115e+01,-2.912546409999999852e+01,-3.626864969999999744e+01
1.659586909999999915e-01,8.302394489999999294e+00,2.324462920000000210e+00,-2.801507259999999988e+01,-2.912449020000000033e+01,-3.626894200000000268e+01
1.698243650000000049e-01,8.305441959999999568e+00,2.327539160000000162e+00,-2.801330370000000158e+01,-2.912354399999999899e+01,-3.626915100000000081e+01
