# Logfile created on 2026-09-01 00:03:48 -0400 by logger.rb/61378
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/noorizad/spicexplorer-workspace/external/pam4-wt/paper-record/report/work/e/dut_pam4.gds
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : Ruby Version for klayout: 2.5.9
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : Loading database to memory is complete.
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : IHP-SG13G2 Klayout DRC runset output at: /home/noorizad/spicexplorer-workspace/external/pam4-wt/paper-record/report/work/e/signoff/drc/dut_pam4_pam4drv_pam4_lay_main.lyrdb
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : Evaluate switches.
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : table_name selected  main
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : Klayout will use 128 thread(s)
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : deep mode is enabled for main table.
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : FEOL enabled: true
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : BEOL enabled: true
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : OffGrid enabled: true
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : PreCheck DRC enabled: false
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : CONNECTIVITY_RULES enabled: true for table main
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : Read in polygons from layers.
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_drw has 68 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_mask has 12 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_filler has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_nofill has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_iopc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : activ_noqrc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : biwind_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : biwind_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : pemwind_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_drw has 24 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_filler has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_nofill has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_iopc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : gatpoly_noqrc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : cont_drw has 928 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : cont_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : nsd_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : nsd_block has 24 polygons
2026-09-01 00:03:48 -0400: Memory Usage (414020K) : metal1_drw has 96 polygons
2026-09-01 00:03:48 -0400: Memory Usage (416224K) : metal1_pin has 48 polygons
2026-09-01 00:03:48 -0400: Memory Usage (416224K) : metal1_mask has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (416224K) : metal1_filler has 0 polygons
